# Source addresses observed sending one of six forged AI crawler user agents on a single HTTP client fingerprint, 28 July to 23 August 2026. The six names belong to Anthropic, OpenAI, Google and Perplexity. This is a complete enumeration of that population, 824 addresses, not a top-N sample or a volume ranking. Not one of them falls inside any address range those four companies publish for their crawlers. Classification as measured 2026-08-27: 806 malicious, 18 unknown, 0 benign; rows that carry no GreyNoise classification are not asserted as indicators. Two classes of row must not be treated as ordinary origins and the tool_fingerprint_observed column marks both: cloud-tenant-address-verify-before-denying marks hyperscaler tenant space, which is reassigned within days, so re-verify against current activity before denying; shared-egress-do-not-block marks an exit shared with unrelated users, and denying it denies them too. The fingerprint column names a software build seen on that address, never an actor and never a coordinated group. GreyNoise observes requests arriving and never outcomes: nothing here says a file was returned or that any organization was affected. TLP:CLEAR.
ip,sessions,tool_fingerprint_observed
34.125.124.188,6493,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.168.135.253,6408,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.54.113,6368,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.108.29.113,6367,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.235.53.55,6251,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.182.215.131,6024,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.231.173.48,5996,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.107.50.16,5770,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.204.247.41,5729,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.228.0.3,5701,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.52.151,5668,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.116.166.88,5656,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.70.80.142,5642,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.23.109.123,5634,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.182.165.28,5562,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.126.108.223,5536,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.168.62.35,5488,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.187.58.163,5488,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.252.121.37,5471,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.66.21.52,5349,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.187.75.228,5288,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.247.188.1,5272,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.9.114,5242,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.156.195.117,5187,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.53.84.29,5140,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.147.53.36,5119,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.240.94.146,5073,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.126.183.131,5020,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.62.203.232,4998,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.58.175,4990,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.38.113.232,4900,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.236.158.226,4859,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.124.183.11,4810,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.19.67.110,4791,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.21.93.25,4756,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.52.247.120,4752,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.110.28.130,4738,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.21.208.17,4705,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.41.142,4695,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.235.87.171,4690,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.127.116,4647,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.221.87.155,4637,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.166.149,4636,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.12.226.254,4602,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.140.252.27,4593,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.204.214.128,4572,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.124.186.232,4560,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.181.173.82,4436,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.107.50.238,4423,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.91.147.214,4393,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.12.31.198,4335,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.34.96.138,4320,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.231.157.101,4244,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.229.161.205,4230,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.117.42,4159,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.169.95.42,4040,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.84.49.78,3904,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.202.101,3853,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.32.189.58,3822,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.220.234,3787,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.20.32,3738,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.81.42.223,3735,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.16.171.172,3716,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.66.90.244,3580,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.52.251.83,3526,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.148.51.123,3523,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.228.18.156,3491,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.20.149,3474,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
104.199.182.70,3462,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.12.129.85,3452,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.62.85.134,3398,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
136.85.58.107,3361,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.104.130.50,3343,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.6.240.227,3307,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.231.140.77,3269,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.197.155.163,3248,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.34.85.179,3222,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.21.240.154,3214,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.126.108.254,3200,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.13.218.216,3192,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.12.201.211,3183,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.125.235.167,3148,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
8.229.215.98,3126,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.140.39.69,3119,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.14.113.7,3109,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
34.21.157.218,3100,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
35.252.171.18,3078,ai-crawler-impostor;cloud-tenant-address-verify-before-denying
