# 100 high-volume source IPs observed in the window 2026-09-08 to 2026-09-14. The classification column is GreyNoise's own, resolved per address from the GreyNoise IP-context record: 84 malicious, 7 suspicious, 9 unknown. It is not a curated indicator list. Triage on classification and on the findings named in the brief, never on rank.
# The gn_service column names a benign commercial service that operates the address, resolved live from GreyNoise Business Service Intelligence at generation time. A NON-EMPTY gn_service means the address belongs to a named service such as a vulnerability scanner or search engine: do NOT block it, and do not file an abuse report against it. An empty gn_service is not a judgment either way.
ip,sessions,classification,gn_service
109.205.211.15,12805964,malicious,
85.11.167.7,2706555,malicious,
212.181.252.130,2451040,malicious,
62.164.177.54,1762082,malicious,
37.111.53.110,1220943,malicious,
193.142.147.109,1217656,malicious,
103.60.204.198,1133815,malicious,
217.60.255.130,1105088,malicious,
103.82.210.181,1081684,malicious,
103.195.81.146,1051478,malicious,
3.129.187.38,1029168,malicious,
18.116.101.220,999670,malicious,
18.218.118.203,992684,malicious,
36.91.242.149,946914,malicious,
34.19.116.50,926021,malicious,
3.130.168.2,923233,malicious,
95.214.53.196,840186,malicious,
172.245.197.49,838868,unknown,
213.209.159.136,787424,unknown,
80.251.153.178,761799,malicious,
212.102.40.218,721459,suspicious,CDN77
130.12.180.101,717903,malicious,
158.94.211.237,683725,unknown,
130.12.180.89,631777,malicious,
158.94.211.189,626779,malicious,
115.77.129.130,625543,suspicious,
16.5.0.244,601858,malicious,
193.32.204.199,600840,malicious,
87.107.6.203,586617,malicious,
195.178.110.28,583209,malicious,
16.5.0.236,576993,malicious,
47.247.63.20,545535,suspicious,
213.209.159.154,526322,malicious,
151.243.11.156,522892,malicious,
151.243.11.161,521294,malicious,
151.243.11.157,519131,malicious,
151.243.11.165,518197,malicious,
151.243.11.169,513049,malicious,
151.243.11.168,507476,malicious,
94.183.174.95,503431,malicious,
151.243.11.150,480744,malicious,
151.243.11.151,480646,malicious,
192.253.248.251,478871,malicious,
151.243.11.158,478830,malicious,
151.243.11.155,478407,malicious,
151.243.11.152,477699,malicious,
151.243.11.167,476980,malicious,
151.243.11.162,476798,malicious,
151.243.11.164,475232,malicious,
151.243.11.154,472744,malicious,
151.243.11.153,472716,malicious,
151.243.11.159,470882,malicious,
151.243.11.163,470042,malicious,
89.42.231.200,468072,malicious,
151.243.11.160,467291,malicious,
151.243.11.166,467052,malicious,
176.120.22.179,464513,malicious,
130.12.180.77,427579,malicious,
213.177.179.195,419754,malicious,
69.5.21.166,410259,malicious,
94.154.46.244,393832,malicious,
213.209.159.175,393208,malicious,
45.67.211.147,391751,malicious,
94.154.46.243,391349,malicious,
94.154.46.247,391345,malicious,
94.154.46.248,383270,malicious,
185.218.86.25,371228,suspicious,
94.154.46.246,363543,malicious,
94.154.46.245,357070,malicious,
187.191.2.214,354354,unknown,
139.87.112.85,348366,unknown,Qualys
45.148.10.21,345275,malicious,
8.34.210.33,340128,malicious,
34.68.34.83,331655,malicious,
45.148.10.238,328585,malicious,
80.94.95.211,328034,malicious,
204.76.203.18,327985,suspicious,
94.154.46.249,326909,malicious,
85.14.245.122,321937,malicious,
213.209.159.148,301771,malicious,
80.94.95.226,297373,malicious,
87.58.199.8,281889,unknown,
167.148.201.176,279887,malicious,
91.202.233.79,277021,malicious,
141.255.162.14,271573,unknown,
139.87.112.23,271481,unknown,Qualys
138.197.147.76,269140,malicious,
34.68.34.82,262673,malicious,
195.178.110.242,256841,malicious,
195.7.5.114,256189,malicious,
94.154.43.203,250244,malicious,
130.12.180.194,244249,malicious,
213.136.90.179,242461,malicious,
201.149.25.124,241887,suspicious,
61.95.166.133,240351,suspicious,
139.87.112.140,239844,unknown,Qualys
77.90.185.20,239408,malicious,
45.148.10.151,233159,malicious,
45.148.10.141,233149,malicious,
193.47.62.69,232954,malicious,
