ip,sessions
85.11.167.11,4274561
128.199.240.7,3753198
187.191.2.214,3472983
45.198.224.18,3015978
167.172.65.202,2952504
85.11.167.7,2924506
62.164.177.41,2396330
152.42.238.0,2363848
45.142.193.212,2299546
157.230.251.67,1914292
160.119.76.13,1864226
87.251.64.146,1829582
160.119.76.54,1733400
185.91.127.85,1702183
45.205.1.5,1513047
80.94.95.240,1509468
15.204.132.78,1457083
16.58.56.214,1313877
80.251.153.178,1223460
18.218.118.203,1166930
192.253.248.180,1159983
80.94.95.46,1133794
88.210.63.126,1123089
18.116.101.220,1088300
3.129.187.38,1079959
208.115.200.90,1079521
46.151.178.13,1068976
185.156.73.31,994059
80.94.95.211,970192
85.239.147.8,960440
209.126.1.71,949806
45.142.193.63,867723
79.124.49.90,862767
209.205.219.218,846692
185.156.73.73,807868
2.50.31.171,806657
2.58.200.5,790842
176.65.139.11,787209
46.101.172.221,690968
85.239.147.7,635944
3.130.168.2,635453
213.209.159.175,632902
79.124.40.174,605301
64.89.163.155,601306
45.154.244.2,574804
3.131.220.121,560797
192.253.248.169,555180
3.143.162.210,544020
51.75.240.111,523166
203.104.26.110,511160
176.65.132.129,507269
37.77.150.83,496627
152.32.189.128,487907
152.32.172.108,485922
128.1.132.220,485882
152.32.189.121,484552
152.32.170.55,484499
45.153.34.112,473165
45.156.87.204,472870
37.120.214.30,455891
176.65.132.24,455329
93.123.72.166,453540
45.156.87.253,452170
136.232.203.90,451267
93.152.208.42,450027
93.152.208.38,444957
93.152.208.26,443790
217.165.229.31,435080
45.156.87.254,431280
45.198.224.5,430644
77.83.36.160,425029
147.135.45.26,416266
176.65.132.17,416111
204.76.203.18,397574
192.109.200.78,395109
176.65.139.118,382612
208.115.218.22,378297
80.94.95.226,378040
79.124.59.78,364931
51.255.49.198,364580
85.239.147.15,347680
192.109.200.220,347408
45.153.34.235,331859
185.156.73.157,326708
88.80.187.35,325700
45.148.10.121,323817
77.91.118.18,320950
66.198.225.21,319005
77.91.118.50,316064
80.94.95.221,312593
197.54.184.241,302325
193.8.186.29,301980
193.8.186.31,301407
68.168.211.82,290683
160.119.76.24,285695
45.153.34.186,277059
193.29.13.39,274167
176.65.132.149,270159
3.18.106.28,261463
45.205.1.110,257414
