ip_address,sessions,threat_type,tags,asn,country,confidence,notes
202.61.197.56,7,Coordinated Campaign,Web Crawler,AS197540,Germany,HIGH,JA4T 65495_2-4-8-1-3_65495_7
47.253.116.19,7,Coordinated Campaign,DNS Over HTTPS Scanner;Web Crawler;Generic Sensitive File Access Attempt,AS45102,United States,HIGH,JA4T 65495_2-4-8-1-3_65495_7
165.154.11.52,7,Coordinated Campaign,Web Crawler,AS135377,Nigeria,HIGH,JA4T 65495_2-4-8-1-3_65495_7
118.193.44.169,6,Coordinated Campaign,Web Crawler;Jboss Application Server CVE-2017-12149 Check,AS135377,Hong Kong,HIGH,JA4T 65495_2-4-8-1-3_65495_7
34.79.182.243,6,Coordinated Campaign,Python Requests Client;Web Crawler,AS396982,Belgium,HIGH,JA4T 65495_2-4-8-1-3_65495_7
64.226.76.102,6,Coordinated Campaign,Web Crawler,AS14061,Germany,HIGH,JA4T 65495_2-4-8-1-3_65495_7
37.19.197.166,6,Coordinated Campaign,Web Crawler;Cisco ASA Scanner,AS212238,United States,HIGH,JA4T 65495_2-4-8-1-3_65495_7
84.239.43.7,6,Coordinated Campaign,Web Crawler;Palo Alto Networks Login Scanner,AS212238,United States,HIGH,JA4T 65495_2-4-8-1-3_65495_7
159.203.6.90,6,Coordinated Campaign,Generic Sensitive File Access Attempt;Web Crawler;Git Config Crawler,AS14061,Canada,HIGH,JA4T 65495_2-4-8-1-3_65495_7
159.89.156.58,6,Coordinated Campaign,Web Crawler,AS14061,United States,HIGH,JA4T 65495_2-4-8-1-3_65495_7
178.16.55.167,6,Coordinated Campaign,Web Crawler,AS214943,Estonia,HIGH,JA4T 65495_2-4-8-1-3_65495_7
45.134.142.200,6,Coordinated Campaign,Web Crawler;Palo Alto Networks Login Scanner,AS212238,United States,HIGH,JA4T 65495_2-4-8-1-3_65495_7
68.235.46.14,6,Coordinated Campaign,Palo Alto Networks Login Scanner;Web Crawler,AS11878,United States,HIGH,JA4T 65495_2-4-8-1-3_65495_7
84.239.41.197,6,Coordinated Campaign,Web Crawler;Palo Alto Networks Login Scanner,AS212238,United States,HIGH,JA4T 65495_2-4-8-1-3_65495_7
152.42.202.56,6,Coordinated Campaign,Web Crawler,AS14061,Singapore,HIGH,JA4T 65495_2-4-8-1-3_65495_7
5.189.158.177,6,Coordinated Campaign,,AS51167,France,HIGH,JA4T 65495_2-4-8-1-3_65495_7
78.153.140.250,6,Coordinated Campaign,Web Crawler;Androxgh0st,AS202306,United Kingdom,HIGH,JA4T 65495_2-4-8-1-3_65495_7
