plugin,days_observed,pct_days_coverage,total_records,unique_ips
uni-woo-custom-product-options-premium,9,9.8,12,7
wp-marketing-automations,9,9.8,11,7
wpcargo,9,9.8,15,12
contact-form-entries,8,8.7,18,10
ht-contactform,8,8.7,9,6
quiz-master-next,8,8.7,14,11
rss-feed-post-generator-echo,8,8.7,13,7
sitepress-multilingual-cms,8,8.7,14,10
WooCommerce-Multi-Locations-Inventory-Management,7,7.6,9,6
acf-extended,7,7.6,16,12
cekidot,7,7.6,28,19
king-addons,7,7.6,14,11
ti-woocommerce-wishlist,7,7.6,13,10
user-registration,7,7.6,10,5
wp-database-backup,7,7.6,13,10
wp-db-backup,7,7.6,60,9
wp-pipes,7,7.6,13,10
wp-server-stats,7,7.6,13,10
wpcom-member,7,7.6,13,10
ad-invalid-click-protector,6,6.5,12,9
afp,6,6.5,12,9
ait-csv-import-export,6,6.5,12,9
asset-manager,6,6.5,12,9
b-slider,6,6.5,12,9
blaze-widget,6,6.5,12,9
britetechs-companion,6,6.5,12,9
chart-builder,6,6.5,12,9
cm-email-blacklist,6,6.5,12,9
copymatic,6,6.5,12,9
database-toolset,6,6.5,12,9
debug-tool,6,6.5,12,9
easy-facebook-likebox,6,6.5,12,9
epoll-wp-voting,6,6.5,12,9
everest-forms,6,6.5,9,9
excel-like-price-change-for-woocommerce-and-wp-e-commerce-light,6,6.5,6,6
exclusive-content-password-protect,6,6.5,12,9
flynax-bridge,6,6.5,12,9
free-wp-booster-by-ads-pro,6,6.5,12,9
geo-my-wp,6,6.5,12,9
ghl-wizard,6,6.5,12,9
gotmls,6,6.5,12,9
greenshift-animation-and-page-builder-blocks,6,6.5,12,9
hide-my-wp,6,6.5,18,10
import-export-with-custom-rest-api,6,6.5,12,9
integrate-google-drive,6,6.5,12,9
integration-for-contact-form-7-and-google-sheets,6,6.5,12,9
integration-for-contact-form-7-and-pipedrive,6,6.5,12,9
loginwp-pro,6,6.5,12,9
my-geo-posts-free,6,6.5,12,9
paid-member-subscriptions,6,6.5,12,9
pardakht-delkhah,6,6.5,12,9
partners,6,6.5,12,9
pods,6,6.5,12,9
popup-by-supsystic,6,6.5,12,9
powerpress,6,6.5,12,9
profile-builder,6,6.5,12,9
propertyhive,6,6.5,12,9
rometheme-for-elementor,6,6.5,12,9
s2member,6,6.5,12,9
seo-optimized-images,6,6.5,11,8
simple-comment-editing,6,6.5,12,9
simple-dashboard,6,6.5,12,9
simple-file-list,6,6.5,12,9
simple-payment,6,6.5,12,9
simply-show-hooks,6,6.5,12,9
tumult-hype-animations,6,6.5,12,9
twenty20,6,6.5,11,9
vrpconnector,6,6.5,9,8
wc-shipos-delivery,6,6.5,12,9
woo-order-export-lite,6,6.5,12,9
woocommerce-point-of-sale,6,6.5,12,9
wp-ajax-random-posts,6,6.5,12,9
wp-prayer,6,6.5,12,9
wrapper-link-elementor,6,6.5,12,9
acf-quickedit-fields,5,5.4,6,5
add-hierarchy-parent-to-post,5,5.4,5,2
easy-upload-files-during-checkout,5,5.4,9,7
instawp-connect,5,5.4,12,4
json-api-user,5,5.4,9,3
thumbs-rating,5,5.4,6,6
userplus,5,5.4,7,7
wicked-folders,5,5.4,7,6
booking,4,4.3,6,6
contact-form-7-multi-step-addon,4,4.3,6,6
flex-qr-code-generator,4,4.3,7,4
kubio,4,4.3,6,1
real-time-auto-find-and-replace,4,4.3,9,9
searchpro,4,4.3,7,7
smart-auto-upload-images,4,4.3,9,9
wp-automatic,4,4.3,6,3
wp-limit-failed-login-attempts,4,4.3,4,4
acf-frontend-form-element,3,3.3,4,4
advanced-custom-fields-pro,3,3.3,3,3
chatbot-chatgpt,3,3.3,4,4
course-booking-system,3,3.3,8,8
facebook-auto-publish,3,3.3,8,8
jobboardwp,3,3.3,4,3
latepoint,3,3.3,3,3
mainwp-vuln,3,3.3,6,3
user-registration-pro,3,3.3,3,3
wc-fields-factory,3,3.3,3,3
wocommerce-payments,3,3.3,8,2
woocommerce-products-filter,3,3.3,8,3
woocommerce-simple-registration,3,3.3,3,3
wp-file-upload,3,3.3,7,3
wp-job-portal,3,3.3,4,3
wp-mlm,3,3.3,3,3
wp-post-author,3,3.3,3,3
"*%22,%22",2,2.2,2,2
activedemand,2,2.2,2,2
advanced-import,2,2.2,2,2
alphabetic-pagination,2,2.2,2,2
armember-membership,2,2.2,2,2
auth0,2,2.2,5,5
baiduseo,2,2.2,2,2
bertha-ai-free,2,2.2,2,2
booking-calendar,2,2.2,2,2
calendar,2,2.2,2,2
capabilities-pro,2,2.2,2,2
capability-manager-enhanced,2,2.2,2,2
cmp-coming-soon-maintenance,2,2.2,2,1
computer-repair-shop,2,2.2,2,1
csv-to-html,2,2.2,2,2
custom-registration-form-builder-with-submission-manager,2,2.2,2,2
directorist,2,2.2,2,2
edwiser-bridge,2,2.2,2,2
email-posts-to-subscribers,2,2.2,2,2
emails-verification-for-woocommerce,2,2.2,2,2
eventprime-event-calendar-management,2,2.2,6,6
events-manager,2,2.2,2,2
extensive-vc-addon,2,2.2,2,2
file-away,2,2.2,2,2
file-manager,2,2.2,2,1
file-provider,2,2.2,3,3
ht-mega-for-elementor,2,2.2,2,2
html-forms,2,2.2,6,6
image-hover-effects-ultimate,2,2.2,2,2
insert-headers-and-footers-script,2,2.2,6,6
js-support-ticket,2,2.2,4,2
jupiterx-core,2,2.2,2,2
k-elements,2,2.2,2,2
keydatas,2,2.2,2,2
learning-management-system,2,2.2,2,2
learnpress,2,2.2,2,2
litespeed-cache-plugin,2,2.2,17,1
login-as-customer-or-user,2,2.2,2,2
mangboard,2,2.2,5,5
membership-for-woocommerce,2,2.2,2,2
miniorange-2-factor-authentication,2,2.2,2,2
miniorange-malware-protection,2,2.2,2,2
n-media-woocommerce-checkout-fields,2,2.2,2,2
nd-donations,2,2.2,2,2
nd-learning,2,2.2,2,2
nd-restaurant-reservations,2,2.2,2,2
nd-shortcodes,2,2.2,2,2
phppoet-checkout-fields,2,2.2,2,2
pie-register-premium,2,2.2,2,2
post-grid,2,2.2,2,2
really-simple-ssl-pro,2,2.2,2,2
really-simple-ssl-pro-multisite,2,2.2,2,2
rencontre,2,2.2,2,2
security-malware-firewall,2,2.2,2,2
shortcode-addons,2,2.2,2,2
simply-schedule-appointments,2,2.2,2,2
sitemap-by-click5,2,2.2,2,2
startklar-elmentor-forms-extwidgets,2,2.2,2,2
themegrill-demo-importer,2,2.2,2,2
tradedoubler-affiliate-tracker,2,2.2,2,2
udraw,2,2.2,2,2
ulisting,2,2.2,2,2
user-verification,2,2.2,2,2
vc-tabs,2,2.2,2,2
videowhisper-live-streaming-integration,2,2.2,2,2
waveplayer,2,2.2,3,3
wholesale-market-for-woocommerce,2,2.2,2,2
woo-product-table,2,2.2,2,2
woo-refund-and-exchange-lite,2,2.2,2,2
woocommerce-checkout-manager,2,2.2,2,2
woocommerce-jetpack,2,2.2,2,2
woolentor-addons,2,2.2,2,2
wp-email-capture,2,2.2,2,2
wp-recall,2,2.2,2,2
wp-sms,2,2.2,2,2
wp-upg,2,2.2,2,2
yith-woocommerce-gift-cards-premium,2,2.2,2,2
zendrop-dropshipping-and-fulfillment,2,2.2,2,2
zm-ajax-login-register,2,2.2,2,2
12-step-meeting-list,1,1.1,1,1
123contactform-for-wordpress,1,1.1,1,1
aawp,1,1.1,1,1
acf-extended-pro,1,1.1,1,1
adsense-plugin,1,1.1,1,1
ai-engine-pro,1,1.1,1,1
all-in-one-video-gallery,1,1.1,1,1
allwebmenus-wordpress-menu-plugin,1,1.1,1,1
ameliabooking,1,1.1,1,1
angwp,1,1.1,1,1
another-wordpress-classifieds-plugin,1,1.1,1,1
ar-for-wordpress,1,1.1,1,1
blaze-slide-show-for-wordpress,1,1.1,1,1
blocks,1,1.1,1,1
branda-white-labeling,1,1.1,1,1
bws-google-analytics,1,1.1,1,1
bws-google-maps,1,1.1,1,1
bws-linkedin,1,1.1,1,1
bws-pinterest,1,1.1,1,1
bws-smtp,1,1.1,1,1
bws-testimonials,1,1.1,1,1
checkout-mestres-wp,1,1.1,1,1
contact-form-multi,1,1.1,1,1
contact-form-plugin,1,1.1,1,1
contact-form-to-db,1,1.1,1,1
cpi-wp-migration,1,1.1,1,1
csv2wpec-coupon,1,1.1,1,1
custom-admin-page,1,1.1,1,1
custom-search-plugin,1,1.1,1,1
deans-fckeditor-with-pwwangs-code-plugin-for-wordpress,1,1.1,1,1
demo-my-wordpress,1,1.1,1,1
depicter,1,1.1,1,1
document-emberdder,1,1.1,1,1
dynamic-font-replacement-4wp,1,1.1,1,1
ecab-taxi-booking-manager,1,1.1,1,1
error-log-viewer,1,1.1,1,1
forumwp,1,1.1,1,1
hash-form,1,1.1,1,1
hc-custom-wp-admin-url,1,1.1,1,1
htaccess,1,1.1,1,1
html2wp,1,1.1,1,1
i-dump-iphone-to-wordpress-photo-uploader,1,1.1,1,1
indeed-wp-superbackup,1,1.1,1,1
jobwp,1,1.1,1,1
lim4wp,1,1.1,1,1
mailcwp,1,1.1,1,1
mainwp-file-uploader-extension,1,1.1,1,1
mainwp-links-manager-extension,1,1.1,1,1
monsters-editor-10-for-wp-super-edit,1,1.1,1,1
multimanager-wp,1,1.1,1,1
mw-wp-form,1,1.1,1,1
opal-estate-pro,1,1.1,3,2
pagination,1,1.1,1,1
pdf-print,1,1.1,1,1
profitori,1,1.1,1,1
promobar,1,1.1,1,1
pwa-for-wp,1,1.1,1,1
rating-bws,1,1.1,1,1
realty,1,1.1,1,1
sender,1,1.1,1,1
simple-wp-events,1,1.1,1,1
sneeit-framework,1,1.1,3,2
social-buttons-pack,1,1.1,1,1
social-login-bws,1,1.1,1,1
starter-templates,1,1.1,1,1
store-toolkit-for-wp-e-commerce,1,1.1,1,1
subscriber,1,1.1,1,1
superlogoshowcase-wp,1,1.1,1,1
transposh-translation-filter-for-wordpress,1,1.1,1,1
twitter-plugin,1,1.1,1,1
updater,1,1.1,1,1
user-role,1,1.1,1,1
visitors-online,1,1.1,1,1
woof,1,1.1,2,1
wordpress-checkout,1,1.1,1,1
wordpress-ecommerce,1,1.1,1,1
wp-3dflick-slideshow,1,1.1,1,1
wp-advanced-search,1,1.1,1,1
wp-all-import,1,1.1,1,1
wp-business-intelligence-lite,1,1.1,1,1
wp-businessdirectory,1,1.1,1,1
wp-cleanfix,1,1.1,1,1
wp-clone-by-wp-academy,1,1.1,1,1
wp-curriculo-vitae,1,1.1,1,1
wp-directorybox-manager,1,1.1,1,1
wp-dropbox-dropins,1,1.1,1,1
wp-dummy-content-generator,1,1.1,1,1
wp-e-commerce-exporter,1,1.1,1,1
wp-easy-contact,1,1.1,1,1
wp-easy-events,1,1.1,1,1
wp-easycart,1,1.1,1,1
wp-editor,1,1.1,1,1
wp-file-uploader,1,1.1,1,1
wp-filebase,1,1.1,1,1
wp-filemanager,1,1.1,1,1
wp-foodbakery,1,1.1,1,1
wp-front-end-profile,1,1.1,1,1
wp-front-end-repository,1,1.1,1,1
wp-funnel-manager,1,1.1,1,1
wp-graphql,1,1.1,1,1
wp-homepage-slideshow,1,1.1,1,1
wp-hotel-booking,1,1.1,1,1
wp-image-news-slider,1,1.1,1,1
wp-insert,1,1.1,1,1
wp-job-board-pro,1,1.1,1,1
wp-job-manager,1,1.1,1,1
wp-jobhunt,1,1.1,1,1
wp-jobsearch,1,1.1,1,1
wp-levoslideshow,1,1.1,1,1
wp-live-chat-support,1,1.1,1,1
wp-live-chat-support-pro,1,1.1,1,1
wp-membership,1,1.1,1,1
wp-meta-data-filter-and-taxonomy-filter,1,1.1,1,1
wp-migrate-db-pro,1,1.1,1,1
wp-optimize-by-xtraffic,1,1.1,1,1
wp-performance-optimizer,1,1.1,2,2
wp-pinterest-automatic,1,1.1,1,1
wp-post-frontend,1,1.1,1,1
wp-powerplaygallery,1,1.1,1,1
wp-propagator,1,1.1,1,1
wp-property,1,1.1,1,1
wp-query-console,1,1.1,1,1
wp-realestate-manager,1,1.1,1,1
wp-responsive-thumbnail-slider,1,1.1,1,1
wp-shop-original,1,1.1,1,1
wp-shopping-cart,1,1.1,1,1
wp-smart-import,1,1.1,1,1
wp-social,1,1.1,1,1
wp-support-plus-responsive-ticket-system,1,1.1,1,1
wp-syntax,1,1.1,1,1
wp-ulike-pro,1,1.1,1,1
wp-ultimate-csv-importer,1,1.1,1,1
wp-ultimate-email-marketer,1,1.1,1,1
wp-ultimate-exporter,1,1.1,1,1
wp-user-extra-fields,1,1.1,1,1
wp-users-masquerade,1,1.1,1,1
wp-wc-affiliate-program,1,1.1,1,1
wp-webhooks,1,1.1,1,1
wp_rokbox,1,1.1,1,1
wp_rokintroscroller,1,1.1,1,1
wp_roknewspager,1,1.1,1,1
wp_rokstories,1,1.1,1,1
wpbookit,1,1.1,1,1
wpbot-pro,1,1.1,1,1
wpc-shop-as-customer,1,1.1,1,1
wpcasa,1,1.1,1,1
wpdatatables,1,1.1,1,1
wpdiscuz,1,1.1,1,1
wpe-indoshipping,1,1.1,1,1
wpfunnels,1,1.1,1,1
wpgateway,1,1.1,1,1
wpgform,1,1.1,1,1
wpguppy-lite,1,1.1,1,1
wpmarketplace,1,1.1,1,1
wpo365-login,1,1.1,1,1
wpshop,1,1.1,1,1
wptouch,1,1.1,1,1
yayextra,1,1.1,1,1
yith-woocommerce-ajax-search,1,1.1,2,1
zendesk-help-center,1,1.1,1,1
