plugin,days_observed,unique_ips,total_records,category
vrpconnector,6,8,9,Opportunistic
wc-shipos-delivery,6,9,12,Opportunistic
woo-order-export-lite,6,9,12,Opportunistic
woocommerce-point-of-sale,6,9,12,Opportunistic
wp-ajax-random-posts,6,9,12,Opportunistic
wp-prayer,6,9,12,Opportunistic
wrapper-link-elementor,6,9,12,Opportunistic
acf-quickedit-fields,5,5,6,Opportunistic
add-hierarchy-parent-to-post,5,2,5,Opportunistic
easy-upload-files-during-checkout,5,7,9,Opportunistic
instawp-connect,5,4,12,Opportunistic
json-api-user,5,3,9,Opportunistic
thumbs-rating,5,6,6,Opportunistic
userplus,5,7,7,Opportunistic
wicked-folders,5,6,7,Opportunistic
booking,4,6,6,Opportunistic
contact-form-7-multi-step-addon,4,6,6,Opportunistic
flex-qr-code-generator,4,4,7,Opportunistic
kubio,4,1,6,Opportunistic
real-time-auto-find-and-replace,4,9,9,Opportunistic
searchpro,4,7,7,Opportunistic
smart-auto-upload-images,4,9,9,Opportunistic
wp-automatic,4,3,6,Opportunistic
wp-limit-failed-login-attempts,4,4,4,Opportunistic
acf-frontend-form-element,3,4,4,Opportunistic
advanced-custom-fields-pro,3,3,3,Opportunistic
chatbot-chatgpt,3,4,4,Opportunistic
course-booking-system,3,8,8,Opportunistic
facebook-auto-publish,3,8,8,Opportunistic
jobboardwp,3,3,4,Opportunistic
latepoint,3,3,3,Opportunistic
mainwp-vuln,3,3,6,Opportunistic
user-registration-pro,3,3,3,Opportunistic
wc-fields-factory,3,3,3,Opportunistic
wocommerce-payments,3,2,8,Opportunistic
woocommerce-products-filter,3,3,8,Opportunistic
woocommerce-simple-registration,3,3,3,Opportunistic
wp-file-upload,3,3,7,Opportunistic
wp-job-portal,3,3,4,Opportunistic
wp-mlm,3,3,3,Opportunistic
wp-post-author,3,3,3,Opportunistic
"*%22,%22",2,2,2,Opportunistic
activedemand,2,2,2,Opportunistic
advanced-import,2,2,2,Opportunistic
alphabetic-pagination,2,2,2,Opportunistic
armember-membership,2,2,2,Opportunistic
auth0,2,5,5,Opportunistic
baiduseo,2,2,2,Opportunistic
bertha-ai-free,2,2,2,Opportunistic
booking-calendar,2,2,2,Opportunistic
calendar,2,2,2,Opportunistic
capabilities-pro,2,2,2,Opportunistic
capability-manager-enhanced,2,2,2,Opportunistic
cmp-coming-soon-maintenance,2,1,2,Opportunistic
computer-repair-shop,2,1,2,Opportunistic
csv-to-html,2,2,2,Opportunistic
custom-registration-form-builder-with-submission-manager,2,2,2,Opportunistic
directorist,2,2,2,Opportunistic
edwiser-bridge,2,2,2,Opportunistic
email-posts-to-subscribers,2,2,2,Opportunistic
emails-verification-for-woocommerce,2,2,2,Opportunistic
eventprime-event-calendar-management,2,6,6,Opportunistic
events-manager,2,2,2,Opportunistic
extensive-vc-addon,2,2,2,Opportunistic
file-away,2,2,2,Opportunistic
file-manager,2,1,2,Opportunistic
file-provider,2,3,3,Opportunistic
ht-mega-for-elementor,2,2,2,Opportunistic
html-forms,2,6,6,Opportunistic
image-hover-effects-ultimate,2,2,2,Opportunistic
insert-headers-and-footers-script,2,6,6,Opportunistic
js-support-ticket,2,2,4,Opportunistic
jupiterx-core,2,2,2,Opportunistic
k-elements,2,2,2,Opportunistic
keydatas,2,2,2,Opportunistic
learning-management-system,2,2,2,Opportunistic
learnpress,2,2,2,Opportunistic
litespeed-cache-plugin,2,1,17,Opportunistic
login-as-customer-or-user,2,2,2,Opportunistic
mangboard,2,5,5,Opportunistic
membership-for-woocommerce,2,2,2,Opportunistic
miniorange-2-factor-authentication,2,2,2,Opportunistic
miniorange-malware-protection,2,2,2,Opportunistic
n-media-woocommerce-checkout-fields,2,2,2,Opportunistic
nd-donations,2,2,2,Opportunistic
nd-learning,2,2,2,Opportunistic
nd-restaurant-reservations,2,2,2,Opportunistic
nd-shortcodes,2,2,2,Opportunistic
phppoet-checkout-fields,2,2,2,Opportunistic
pie-register-premium,2,2,2,Opportunistic
post-grid,2,2,2,Opportunistic
really-simple-ssl-pro,2,2,2,Opportunistic
really-simple-ssl-pro-multisite,2,2,2,Opportunistic
rencontre,2,2,2,Opportunistic
security-malware-firewall,2,2,2,Opportunistic
shortcode-addons,2,2,2,Opportunistic
simply-schedule-appointments,2,2,2,Opportunistic
sitemap-by-click5,2,2,2,Opportunistic
startklar-elmentor-forms-extwidgets,2,2,2,Opportunistic
themegrill-demo-importer,2,2,2,Opportunistic
tradedoubler-affiliate-tracker,2,2,2,Opportunistic
udraw,2,2,2,Opportunistic
ulisting,2,2,2,Opportunistic
user-verification,2,2,2,Opportunistic
vc-tabs,2,2,2,Opportunistic
videowhisper-live-streaming-integration,2,2,2,Opportunistic
waveplayer,2,3,3,Opportunistic
wholesale-market-for-woocommerce,2,2,2,Opportunistic
woo-product-table,2,2,2,Opportunistic
woo-refund-and-exchange-lite,2,2,2,Opportunistic
woocommerce-checkout-manager,2,2,2,Opportunistic
woocommerce-jetpack,2,2,2,Opportunistic
woolentor-addons,2,2,2,Opportunistic
wp-email-capture,2,2,2,Opportunistic
wp-recall,2,2,2,Opportunistic
wp-sms,2,2,2,Opportunistic
wp-upg,2,2,2,Opportunistic
yith-woocommerce-gift-cards-premium,2,2,2,Opportunistic
zendrop-dropshipping-and-fulfillment,2,2,2,Opportunistic
zm-ajax-login-register,2,2,2,Opportunistic
12-step-meeting-list,1,1,1,Opportunistic
123contactform-for-wordpress,1,1,1,Opportunistic
aawp,1,1,1,Opportunistic
acf-extended-pro,1,1,1,Opportunistic
adsense-plugin,1,1,1,Opportunistic
ai-engine-pro,1,1,1,Opportunistic
all-in-one-video-gallery,1,1,1,Opportunistic
allwebmenus-wordpress-menu-plugin,1,1,1,Opportunistic
ameliabooking,1,1,1,Opportunistic
angwp,1,1,1,Opportunistic
another-wordpress-classifieds-plugin,1,1,1,Opportunistic
ar-for-wordpress,1,1,1,Opportunistic
blaze-slide-show-for-wordpress,1,1,1,Opportunistic
blocks,1,1,1,Opportunistic
branda-white-labeling,1,1,1,Opportunistic
bws-google-analytics,1,1,1,Opportunistic
bws-google-maps,1,1,1,Opportunistic
bws-linkedin,1,1,1,Opportunistic
bws-pinterest,1,1,1,Opportunistic
bws-smtp,1,1,1,Opportunistic
bws-testimonials,1,1,1,Opportunistic
checkout-mestres-wp,1,1,1,Opportunistic
contact-form-multi,1,1,1,Opportunistic
contact-form-plugin,1,1,1,Opportunistic
contact-form-to-db,1,1,1,Opportunistic
cpi-wp-migration,1,1,1,Opportunistic
csv2wpec-coupon,1,1,1,Opportunistic
custom-admin-page,1,1,1,Opportunistic
custom-search-plugin,1,1,1,Opportunistic
deans-fckeditor-with-pwwangs-code-plugin-for-wordpress,1,1,1,Opportunistic
demo-my-wordpress,1,1,1,Opportunistic
depicter,1,1,1,Opportunistic
document-emberdder,1,1,1,Opportunistic
dynamic-font-replacement-4wp,1,1,1,Opportunistic
ecab-taxi-booking-manager,1,1,1,Opportunistic
error-log-viewer,1,1,1,Opportunistic
forumwp,1,1,1,Opportunistic
hash-form,1,1,1,Opportunistic
hc-custom-wp-admin-url,1,1,1,Opportunistic
htaccess,1,1,1,Opportunistic
html2wp,1,1,1,Opportunistic
i-dump-iphone-to-wordpress-photo-uploader,1,1,1,Opportunistic
indeed-wp-superbackup,1,1,1,Opportunistic
jobwp,1,1,1,Opportunistic
lim4wp,1,1,1,Opportunistic
mailcwp,1,1,1,Opportunistic
mainwp-file-uploader-extension,1,1,1,Opportunistic
mainwp-links-manager-extension,1,1,1,Opportunistic
monsters-editor-10-for-wp-super-edit,1,1,1,Opportunistic
multimanager-wp,1,1,1,Opportunistic
mw-wp-form,1,1,1,Opportunistic
opal-estate-pro,1,2,3,Opportunistic
pagination,1,1,1,Opportunistic
pdf-print,1,1,1,Opportunistic
profitori,1,1,1,Opportunistic
promobar,1,1,1,Opportunistic
pwa-for-wp,1,1,1,Opportunistic
rating-bws,1,1,1,Opportunistic
realty,1,1,1,Opportunistic
sender,1,1,1,Opportunistic
simple-wp-events,1,1,1,Opportunistic
sneeit-framework,1,2,3,Opportunistic
social-buttons-pack,1,1,1,Opportunistic
social-login-bws,1,1,1,Opportunistic
starter-templates,1,1,1,Opportunistic
store-toolkit-for-wp-e-commerce,1,1,1,Opportunistic
subscriber,1,1,1,Opportunistic
superlogoshowcase-wp,1,1,1,Opportunistic
transposh-translation-filter-for-wordpress,1,1,1,Opportunistic
twitter-plugin,1,1,1,Opportunistic
updater,1,1,1,Opportunistic
user-role,1,1,1,Opportunistic
visitors-online,1,1,1,Opportunistic
woof,1,1,2,Opportunistic
wordpress-checkout,1,1,1,Opportunistic
