ip,sessions
85.11.167.11,4932110
128.199.240.7,4358154
167.172.65.202,3243998
152.42.238.0,2743167
176.120.22.179,2289199
157.230.251.67,2123082
185.91.127.85,1941862
16.58.56.214,1920189
192.253.248.180,1876998
160.119.76.59,1710609
160.119.76.60,1595339
165.245.167.214,1577587
165.245.166.245,1545704
18.116.101.220,1493358
160.119.76.55,1489889
18.218.118.203,1379738
165.245.168.48,1378152
3.130.168.2,1369435
130.12.180.145,1358473
187.191.2.214,1286584
3.129.187.38,1269720
130.12.180.163,1225948
130.12.180.143,1218085
138.197.74.215,1217748
130.12.180.141,1207312
130.12.180.153,1201759
130.12.180.152,1200198
130.12.180.148,1196697
130.12.180.156,1190959
130.12.180.150,1178395
62.164.177.41,1177871
130.12.180.142,1167815
130.12.180.147,1161026
130.12.180.149,1150557
130.12.180.146,1147283
130.12.180.133,1143774
130.12.180.157,1143021
45.205.1.5,1128502
130.12.180.154,1117526
130.12.180.155,1104443
130.12.180.131,1092385
93.152.221.38,1063174
85.239.147.7,1055306
130.12.180.158,1055134
85.239.147.8,1036405
15.204.132.78,964794
208.115.200.90,963108
45.205.1.110,957844
208.115.218.22,954156
51.75.240.111,953064
3.131.220.121,938922
209.205.219.218,909020
165.245.167.227,880326
46.151.178.13,871884
64.23.154.204,868683
80.251.153.178,810419
107.152.44.215,800280
85.239.147.15,776729
45.135.193.157,692322
185.156.73.31,689453
209.126.1.71,643951
181.190.25.194,627341
79.124.49.90,618267
45.227.253.170,610656
37.120.214.30,610291
147.135.45.26,607047
208.115.219.122,598583
185.156.73.73,582211
185.182.8.37,573659
5.180.187.102,569363
80.94.95.46,540454
80.94.95.226,539523
79.124.40.174,532413
213.136.65.30,530213
80.241.222.182,523454
176.65.139.11,518320
45.198.224.18,517874
45.135.193.156,513777
192.253.248.169,510029
213.136.65.68,509349
80.241.222.148,505436
185.190.142.203,504791
88.210.63.126,504710
213.136.65.29,503508
213.136.65.67,503014
80.241.212.207,501916
185.190.142.230,499385
185.190.142.122,498204
80.241.210.138,496305
80.241.222.179,495646
80.241.210.212,495576
185.2.103.52,495575
213.136.65.66,495267
213.136.66.135,494756
213.209.159.175,494695
213.136.65.28,494448
213.209.159.154,491410
185.156.73.19,486044
192.109.200.237,480903
3.134.216.108,469893
