ip,sessions
128.136.131.84,9965618
85.11.167.11,3336597
45.198.224.18,2470164
85.11.167.7,2365364
160.119.76.63,1520122
16.58.56.214,1262595
87.251.64.146,1241149
45.205.1.5,1217902
213.209.159.175,1028446
18.116.101.220,1022548
62.164.177.41,959426
18.218.118.203,949482
5.61.209.92,891199
93.123.72.183,886651
185.16.38.216,865330
3.129.187.38,830476
3.130.168.2,818380
80.251.153.178,766353
193.142.147.91,757876
3.131.220.121,753971
185.196.220.131,752267
185.196.220.134,751249
185.196.220.133,742027
193.142.147.56,738767
45.134.225.48,738277
45.148.10.200,710687
80.94.95.211,694084
187.191.2.214,691773
69.5.20.93,687691
193.142.147.92,686603
193.142.147.111,684738
193.142.147.55,673856
46.151.178.13,667381
118.69.186.162,638943
45.134.225.47,634185
185.196.220.130,608304
3.132.26.232,567011
204.76.203.206,563646
185.207.251.4,542800
192.253.248.169,533861
212.102.40.218,506656
204.76.203.36,498807
193.142.147.86,497829
31.59.160.12,466808
176.65.132.129,452458
204.76.203.219,448782
185.196.220.132,442264
3.134.216.108,431906
45.156.87.254,430921
80.94.95.226,428192
176.65.132.17,421485
204.76.203.18,416535
176.65.132.24,403420
15.204.244.83,395125
45.153.34.112,380893
5.61.209.43,378448
45.153.34.71,378341
45.153.34.235,362701
45.198.224.5,361422
45.156.87.204,355649
37.120.214.30,353970
45.156.87.253,347408
2.184.155.50,337690
45.154.244.2,335406
185.156.73.157,333209
155.103.69.40,332076
185.16.39.100,330570
51.68.34.131,324947
51.75.144.21,320133
64.227.25.120,317785
178.16.53.180,309670
93.123.109.67,308316
179.43.168.58,307695
192.109.200.78,306891
79.124.59.78,303333
176.65.139.181,290661
5.189.184.50,285254
185.254.197.231,281058
93.152.208.42,278843
93.152.208.38,278775
52.200.76.145,277205
93.152.208.26,276897
23.95.137.106,274003
185.242.3.195,269895
69.164.242.30,264469
45.153.34.195,260927
31.56.110.107,258667
93.123.109.10,257331
185.166.25.150,254776
159.89.117.80,253891
3.87.27.156,251772
192.253.248.180,243650
198.144.183.125,240652
185.177.72.24,239048
77.91.118.50,233699
77.91.118.18,233200
185.177.72.70,228115
185.177.72.69,227087
91.238.181.26,218124
185.177.72.52,215457
