ip,sessions
213.209.159.175,1952700
108.204.128.181,1161981
101.47.155.116,1161438
170.253.147.12,717883
213.209.159.154,703118
195.178.110.137,500818
193.34.212.136,497798
212.102.40.218,458791
45.148.10.200,420452
185.177.72.12,409033
163.7.12.223,398833
185.177.72.31,365182
185.177.72.54,349829
185.177.72.22,346896
45.225.135.171,343200
185.177.72.205,329060
185.177.72.13,325110
185.177.72.5,322538
185.177.72.58,321541
185.177.72.29,319514
62.164.177.54,317510
80.94.95.211,315081
185.177.72.38,296324
185.177.72.53,294058
185.177.72.49,293271
185.177.72.67,292477
185.177.72.100,291963
185.177.72.17,289578
185.177.72.69,287381
181.210.24.218,286306
139.87.112.145,285586
185.177.72.56,282719
91.238.181.72,272526
139.87.112.78,270792
139.87.112.6,263561
194.180.48.213,251236
16.58.56.214,249486
185.177.72.24,242092
18.116.101.220,236478
45.198.224.18,234668
45.198.224.15,230774
77.90.185.20,215040
3.130.168.2,205993
173.249.22.208,197897
185.177.72.52,191795
3.129.187.38,191558
60.163.139.198,189059
2.27.165.137,183536
45.198.224.5,181730
43.134.23.47,178751
213.209.159.114,172316
37.221.195.225,171711
18.218.118.203,171526
4.204.201.85,168331
69.5.20.189,164302
80.251.153.178,160117
20.197.195.24,156283
213.183.63.126,155192
192.253.248.180,149886
88.214.25.47,147332
185.170.154.161,144129
91.238.181.5,141644
20.151.10.161,141326
2.26.115.243,141086
88.214.25.45,140075
195.182.16.23,139598
161.97.74.198,139308
94.154.43.243,136118
15.204.132.78,135962
64.39.102.120,133504
194.180.48.215,131885
20.206.105.145,121790
64.89.160.73,117081
204.76.203.18,116792
64.39.102.122,113408
2.57.122.238,111276
218.89.222.17,111051
203.24.92.179,108321
159.89.117.80,107977
195.178.110.26,107733
45.148.10.152,107319
45.148.10.151,107306
45.148.10.141,107149
45.148.10.147,106968
45.148.10.157,106636
103.201.142.69,104431
117.53.155.126,103850
185.177.72.16,102954
52.173.161.248,102590
62.60.130.193,100807
172.202.26.222,99785
20.104.96.117,99190
77.91.71.25,97952
77.91.71.91,97911
5.61.209.44,97881
101.47.13.192,97743
77.91.71.23,97422
138.226.239.91,97141
138.226.239.90,97095
77.91.71.24,97009
