ip,sessions
170.253.147.12,2638344
108.204.128.181,1762323
213.209.159.175,1459550
101.47.13.192,788642
62.164.177.54,737599
159.89.117.80,734171
213.209.159.154,697467
161.97.74.198,695938
85.11.167.7,640090
195.178.110.137,571104
88.214.25.47,495920
88.214.25.45,494164
45.198.224.15,490472
91.238.181.70,487944
91.238.181.5,485206
34.34.103.195,473050
91.238.181.71,462260
212.102.40.218,434246
204.76.203.18,431539
16.58.56.214,407758
80.94.95.211,393454
18.116.101.220,391625
18.218.118.203,383712
45.148.10.200,383702
80.251.153.178,383701
45.198.224.18,380642
2.27.165.137,361222
192.253.248.180,350405
91.238.181.72,344731
193.34.212.136,343031
45.227.254.159,308885
69.5.20.93,308064
181.210.24.218,302898
3.129.187.38,300650
185.178.208.130,291456
20.63.63.128,288460
94.154.43.243,273698
3.130.168.2,272943
91.238.181.6,257854
20.226.26.5,251013
139.87.112.78,250975
64.39.102.120,219954
45.205.1.5,217487
117.53.155.126,210478
94.130.54.42,204678
194.165.16.9,196465
37.221.195.225,193794
104.153.209.58,193348
185.177.72.38,180312
46.151.178.13,172701
185.177.72.51,172172
185.177.72.24,169603
176.53.159.198,168760
192.119.101.36,167002
176.53.159.197,165663
45.90.163.37,163828
45.198.224.5,161581
176.53.159.38,161016
185.177.72.58,160864
77.90.185.20,160035
185.177.72.17,152558
74.91.195.12,145789
185.177.72.12,143637
45.148.10.60,142329
185.177.72.49,141957
151.243.11.245,141734
45.205.1.223,138662
185.177.72.69,137101
139.59.236.63,134324
94.154.43.230,134242
46.101.112.134,133953
79.124.56.242,133453
64.89.160.73,132574
185.177.72.54,131323
46.229.232.72,130982
15.204.132.78,128351
2.57.122.238,128141
2.57.121.25,127455
139.87.112.55,127318
190.148.107.110,126863
185.177.72.29,125274
103.200.219.112,124157
157.230.42.17,124128
20.206.89.130,123729
45.148.10.42,121199
181.214.221.233,119556
85.119.146.165,116605
91.238.181.74,116502
178.16.54.11,116033
20.80.14.202,115743
185.177.72.52,115210
185.177.72.22,115051
185.177.72.68,114972
185.170.154.161,113638
185.177.72.205,113564
45.148.10.151,113440
45.148.10.141,113267
178.128.232.111,113252
45.148.10.157,113225
45.148.10.152,113198
