ip,sessions
187.191.2.214,4260500
185.91.127.85,2773399
5.187.35.26,2396226
45.205.1.110,2320405
104.131.63.228,1873117
16.58.56.214,1825315
18.116.101.220,1653664
45.205.1.5,1586016
3.129.187.38,1498027
18.218.118.203,1497416
80.94.95.46,1485214
185.177.72.61,1384299
190.10.8.144,1346622
3.130.168.2,1265437
176.120.22.52,1147120
3.131.220.121,1106428
36.25.240.114,963280
80.94.95.240,937686
5.161.192.63,891527
159.65.151.71,817721
91.224.92.125,793887
176.65.151.74,773453
46.151.178.13,767119
3.132.26.232,704749
211.140.151.11,665825
45.148.10.240,659308
91.92.242.233,638666
193.32.162.28,631433
80.94.95.55,566503
204.76.203.18,544543
45.82.78.105,508719
45.82.78.104,505642
45.82.78.106,504914
45.82.78.107,504894
45.82.78.100,504850
45.82.78.108,504508
45.82.78.103,504459
45.82.78.102,498847
80.94.95.226,489264
141.98.83.86,488621
130.12.180.160,466938
78.128.114.42,450914
189.18.126.32,448916
3.134.216.108,435794
222.127.63.213,433065
92.118.39.30,428663
79.124.40.174,426967
45.227.253.170,424614
124.225.88.153,418847
193.29.13.64,415645
45.205.1.26,407353
45.180.86.12,398632
194.88.98.82,397872
168.195.32.56,383675
176.65.139.103,371979
161.81.189.130,367289
138.122.140.201,366668
113.221.15.159,363963
92.63.197.22,345530
161.81.239.205,331693
80.94.95.221,311222
152.53.91.127,305071
176.120.22.13,285111
37.77.150.83,275646
195.140.214.18,274853
8.137.114.98,274841
3.143.162.210,264145
5.181.86.179,257781
37.10.113.210,254155
204.76.203.215,253179
85.11.183.25,251493
85.11.183.27,251198
85.11.183.23,249964
85.11.183.21,248731
194.88.98.94,247917
85.11.183.19,245914
212.102.40.218,242915
45.148.10.121,241313
193.176.31.146,238365
79.124.59.78,235861
31.56.110.107,234276
92.63.197.197,231715
130.12.180.158,223325
207.154.193.73,217837
45.205.1.8,215582
203.69.6.123,214956
213.209.159.158,212796
123.253.35.182,211435
194.88.98.93,210568
185.16.39.146,207309
104.234.30.74,204434
213.202.222.56,203259
81.29.142.6,199737
185.156.73.157,192771
200.114.64.220,191974
103.237.38.13,191854
120.211.32.165,190475
37.148.133.221,189552
194.88.98.92,188393
103.237.38.11,183053
